Level,Attempt,Begin,End,Duration,S/F
1,1,30/07/2019 12:34:24,30/07/2019 12:34:25,1.04,S
2,1,30/07/2019 12:34:29,30/07/2019 12:34:31,1.739999,S
3,1,30/07/2019 12:34:35,30/07/2019 12:34:36,1.279999,S
4,1,30/07/2019 12:35:14,30/07/2019 12:35:17,2.919998,S
5,1,30/07/2019 12:35:21,30/07/2019 12:35:23,1.879999,S
6,1,30/07/2019 12:35:27,30/07/2019 12:35:31,4.259997,S
7,1,30/07/2019 12:35:35,30/07/2019 12:35:39,3.659997,S
8,1,30/07/2019 12:36:16,30/07/2019 12:36:50,33.38057,S
9,0,30/07/2019 12:36:21,30/07/2019 12:36:54,33.38057,F
