Level,Attempt,Begin,End,Duration,S/F
1,1,30/07/2019 15:26:01,30/07/2019 15:26:05,4.399997,S
2,1,30/07/2019 15:26:11,30/07/2019 15:26:17,6.319995,S
3,1,30/07/2019 15:26:22,30/07/2019 15:26:27,5.239996,S
