Level,Attempt,Begin,End,Duration,S/F
0,1,30/07/2019 14:49:39,30/07/2019 14:49:42,2.899998,S
9,1,30/07/2019 14:49:47,30/07/2019 14:49:50,3.219998,S
10,1,30/07/2019 14:49:55,30/07/2019 14:50:03,7.499994,S
