Level,Attempt,Begin,End,Duration,S/F
1,0,26/07/2019 11:14:12,26/07/2019 11:14:12,0,F
1,0,26/07/2019 11:14:16,26/07/2019 11:14:16,0,S
1,0,26/07/2019 11:14:17,26/07/2019 11:14:17,0,F
2,1,26/07/2019 11:14:20,26/07/2019 11:14:20,0.22,S
2,1,26/07/2019 11:14:21,26/07/2019 11:14:21,0.22,F
3,1,26/07/2019 11:14:25,26/07/2019 11:14:26,1.499999,F
3,2,26/07/2019 11:14:30,26/07/2019 11:14:32,1.459999,S
4,1,26/07/2019 11:14:40,26/07/2019 11:14:41,1.08,S
4,1,26/07/2019 11:14:41,26/07/2019 11:14:42,1.08,F
5,1,26/07/2019 11:14:46,26/07/2019 11:14:48,1.999999,S
6,1,26/07/2019 11:14:53,26/07/2019 11:14:54,0.8399997,S
