Level,Attempt,Begin,End,Duration,S/F
0,1,30/07/2019 14:10:33,30/07/2019 14:10:36,2.179999,S
2,1,30/07/2019 14:10:40,30/07/2019 14:10:43,2.519998,S
3,1,30/07/2019 14:10:48,30/07/2019 14:10:49,1.839999,S
4,1,30/07/2019 14:10:54,30/07/2019 14:10:56,1.939999,S
5,1,30/07/2019 14:11:00,30/07/2019 14:11:03,2.279999,S
6,1,30/07/2019 14:11:08,30/07/2019 14:11:13,5.439996,S
7,1,30/07/2019 14:11:18,30/07/2019 14:11:23,5.039996,S
8,1,30/07/2019 14:11:28,30/07/2019 14:11:30,2.039999,S
9,1,30/07/2019 14:11:34,30/07/2019 14:11:37,2.219999,S
