Level,Attempt,Begin,End,Duration,S/F
0,1,30/07/2019 14:05:51,30/07/2019 14:05:54,2.339998,S
2,1,30/07/2019 14:05:59,30/07/2019 14:06:01,2.639998,S
3,1,30/07/2019 14:06:06,30/07/2019 14:06:08,1.839999,S
4,1,30/07/2019 14:06:13,30/07/2019 14:06:15,1.919999,S
5,1,30/07/2019 14:06:20,30/07/2019 14:06:22,2.099999,S
6,1,30/07/2019 14:06:27,30/07/2019 14:06:32,5.259996,S
7,1,30/07/2019 14:06:38,30/07/2019 14:06:43,5.159996,S
8,1,30/07/2019 14:06:48,30/07/2019 14:06:50,2.039999,S
9,1,30/07/2019 14:06:54,30/07/2019 14:06:56,2.219999,S
