Level,Attempt,Begin,End,Duration,S/F
0,1,30/07/2019 14:22:31,30/07/2019 14:22:33,2.259999,S
2,1,30/07/2019 14:22:39,30/07/2019 14:22:41,2.479998,S
3,1,30/07/2019 14:22:46,30/07/2019 14:22:48,1.799999,S
4,1,30/07/2019 14:22:53,30/07/2019 14:22:55,1.899999,S
5,1,30/07/2019 14:23:00,30/07/2019 14:23:02,2.119999,S
6,1,30/07/2019 14:23:08,30/07/2019 14:23:13,5.039996,S
7,1,30/07/2019 14:23:19,30/07/2019 14:23:24,4.699996,S
8,1,30/07/2019 14:23:29,30/07/2019 14:23:30,1.859999,S
9,1,30/07/2019 14:23:35,30/07/2019 14:23:37,2.179999,S
10,1,30/07/2019 14:23:43,30/07/2019 14:23:48,4.819996,S
11,0,30/07/2019 14:23:48,30/07/2019 14:23:52,4.819996,F
