Level,Attempt,Begin,End,Duration,S/F
1,1,01/08/2019 11:28:29,01/08/2019 11:28:34,4.979996,S
2,1,01/08/2019 11:28:40,01/08/2019 11:28:46,6.119995,S
3,1,01/08/2019 11:28:50,01/08/2019 11:28:55,4.319997,F
