Level,Attempt,Begin,End,Duration,S/F
0,1,30/07/2019 14:08:37,30/07/2019 14:08:39,2.239999,S
2,1,30/07/2019 14:08:44,30/07/2019 14:08:46,2.519998,S
3,1,30/07/2019 14:08:51,30/07/2019 14:08:53,1.779999,S
4,1,30/07/2019 14:08:58,30/07/2019 14:09:00,2.059999,S
5,1,30/07/2019 14:09:04,30/07/2019 14:09:07,2.419998,S
6,1,30/07/2019 14:09:12,30/07/2019 14:09:17,5.259996,S
7,1,30/07/2019 14:09:23,30/07/2019 14:09:27,4.839996,S
8,1,30/07/2019 14:09:32,30/07/2019 14:09:34,1.939999,S
9,1,30/07/2019 14:09:39,30/07/2019 14:09:41,2.119999,S
