Level,Attempt,Begin,End,Duration,S/F
1,1,30/07/2019 13:08:05,30/07/2019 13:08:07,1.159999,S
2,1,30/07/2019 13:08:11,30/07/2019 13:08:13,1.799999,S
3,1,30/07/2019 13:08:17,30/07/2019 13:08:18,1.199999,S
4,1,30/07/2019 13:08:22,30/07/2019 13:08:24,1.579999,S
5,1,30/07/2019 13:08:28,30/07/2019 13:08:29,1.799999,S
6,1,30/07/2019 13:08:34,30/07/2019 13:08:38,4.239997,S
7,1,30/07/2019 13:08:42,30/07/2019 13:08:46,3.619997,S
8,1,30/07/2019 13:08:50,30/07/2019 13:09:08,17.90022,S
