Level,Attempt,Begin,End,Duration,S/F
0,1,30/07/2019 14:37:32,30/07/2019 14:37:37,4.959996,S
11,1,30/07/2019 14:37:43,30/07/2019 14:37:50,7.059994,S
12,0,30/07/2019 14:37:47,30/07/2019 14:37:54,7.059994,F
12,0,30/07/2019 14:37:53,30/07/2019 14:38:00,7.059994,F
12,0,30/07/2019 14:37:57,30/07/2019 14:38:04,7.059994,F
