Level,Attempt,Begin,End,Duration,S/F
1,1,30/07/2019 12:22:49,30/07/2019 12:22:50,0.9599996,S
1,1,30/07/2019 12:22:50,30/07/2019 12:22:51,0.9599996,F
2,1,30/07/2019 12:22:55,30/07/2019 12:22:58,2.899998,S
3,0,30/07/2019 12:23:00,30/07/2019 12:23:03,2.899998,F
3,1,30/07/2019 12:23:07,30/07/2019 12:23:09,1.699999,S
4,1,30/07/2019 12:23:14,30/07/2019 12:23:17,2.539998,S
5,1,30/07/2019 12:23:24,30/07/2019 12:23:26,2.579998,S
6,1,30/07/2019 12:23:31,30/07/2019 12:23:42,10.92006,S
7,1,30/07/2019 12:23:46,30/07/2019 12:23:50,4.219997,S
