Session ID,Attempt,Time,p_X,p_Y,p_Z,o_X,o_Y,o_Z,t_X,t_Y,t_Z
637002638075708466,1,0.02,-24.99999,7.52788,17.5,0,0,0,0,0,0
637002638075708466,1,0.04,-24.99999,7.386616,17.5,0,0,0,0,0,0
637002638075708466,1,0.06,-24.99999,7.241428,17.5,0,0,0,0,0,0
637002638075708466,1,0.08,-24.99999,7.092316,17.5,0,0,0,0,0,0
637002638075708466,1,0.09999999,-24.99999,7.103662,17.5,0,0,0,0,0,0
637002638075708466,1,0.12,-24.99999,7.105932,17.5,0,0,0,0,0,0
637002638075708466,1,0.14,-24.99999,7.106387,17.5,0,0,0,0,0,0
637002638075708466,1,0.16,-24.99999,7.106478,17.5,0,0,0,0,0,0
637002638075708466,1,0.18,-24.32075,7.106495,17.5,0,0,0,0,0,0
637002638075708466,1,0.2,-20.92448,7.106499,17.50001,0,0,0,0,0,0
637002638075708466,1,0.22,-19.56598,7.102575,17.50001,0,0,0,0,0,0
637002638075708466,1,0.24,-18.88673,7.094727,17.50001,0,0,0,0,0,0
637002638075708466,1,0.26,-16.84897,7.082955,17.50001,0,0,0,0,0,0
637002638075708466,1,0.28,-16.16972,7.067259,17.50002,0,0,0,0,0,0
637002638075708466,1,0.3,-15.49047,7.047639,17.50002,0,0,0,0,0,0
637002638075708466,1,0.32,-15.00001,7.043127,17.50001,0,0,0,0,0,0
637002638075708466,1,0.34,-15.00001,7.042225,17.50001,0,0,0,0,0,0
637002638075708466,1,0.36,-15.00001,7.042045,15.94679,0,0,0,0,0,0
637002638075708466,1,0.38,-15.00001,7.037941,15.94679,0,0,0,0,0,0
637002638075708466,1,0.4,-15.00002,7.029912,15.17018,0,0,0,0,0,0
637002638075708466,1,0.42,-15.00002,7.035175,15.17025,0,0,0,0,0,0
637002638075708466,1,0.4400001,-15.00002,7.036228,14.39358,0,0,0,0,0,0
637002638075708466,1,0.4600001,-15.00001,7.0449,12.84036,0,0,0,0,0,0
637002638075708466,1,0.4800001,-15,7.063557,10.51053,0,0,0,0,0,0
637002638075708466,1,0.5000001,-15,7.092667,10.50001,0,0,0,0,0,0
637002638075708466,1,0.52,-15,7.098533,10.50001,0,0,0,0,0,0
637002638075708466,1,0.54,-15,7.099705,10.50001,0,0,0,0,0,0
637002638075708466,1,0.56,-15,7.09994,10.50001,0,0,0,0,0,0
637002638075708466,1,0.58,-14.32075,7.099988,10.50002,0,0,0,0,0,0
637002638075708466,1,0.6,-12.96225,7.099998,10.50003,0,0,0,0,0,0
637002638075708466,1,0.6199999,-12.28301,7.099999,10.50003,0,0,0,0,0,0
637002638075708466,1,0.6399999,-10.9245,7.099999,10.50004,0,0,0,0,0,0
637002638075708466,1,0.6599999,-10.24525,7.099999,10.50003,0,0,0,0,0,0
637002638075708466,1,0.6799999,-9.565999,7.099999,10.50003,0,0,0,0,0,0
637002638075708466,1,0.6999999,-8.207498,7.099999,10.50003,0,0,0,0,0,0
637002638075708466,1,0.7199998,-7.52825,7.099999,10.50003,0,0,0,0,0,0
637002638075708466,1,0.7399998,-6.849003,7.1,10.50003,0,0,0,0,0,0
637002638075708466,1,0.7599998,-5.490494,7.1,10.50002,0,0,0,0,0,0
637002638075708466,1,0.7799998,-5.000002,7.1,10.50001,0,0,0,0,0,0
637002638075708466,1,0.7999998,-5.000002,7.1,10.50001,0,0,0,0,0,0
637002638075708466,1,0.8199998,-5.000002,7.1,10.50001,0,0,0,0,0,0
637002638075708466,1,0.8399997,-5.000007,7.1,11.27663,0,0,0,0,0,0
637002638075708466,1,0.8599997,-5.000005,7.1,11.27663,0,0,0,0,0,0
637002638075708466,1,0.8799997,-5.000009,7.1,12.05325,0,0,0,0,0,0
637002638075708466,1,0.8999997,-5.000014,7.1,12.82987,0,0,0,0,0,0
637002638075708466,1,0.9199997,-5.000011,7.1,14.38312,0,0,0,0,0,0
637002638075708466,1,0.9399996,-5.000007,7.099999,15.93635,0,0,0,0,0,0
637002638075708466,1,0.9599996,-5,7.1,17.48957,0,0,0,0,0,0
637002638075708466,1,0.9799996,-5.000002,7.1,17.50001,0,0,0,0,0,0
637002638075708466,1,0.9999996,-5.000002,7.1,17.50001,0,0,0,0,0,0
637002638075708466,1,1.02,-5.000002,7.1,17.50001,0,0,0,0,0,0
637002638075708466,1,1.04,-5.000002,7.1,17.50001,0,0,0,0,0,0
637002638075708466,1,1.06,-3.779985,7.1,16.81679,0,0,0,0,0,0
637002638075708466,1,1.08,-3.169976,7.1,16.47519,0,0,0,0,0,0
637002638075708466,1,1.1,-1.949954,7.1,15.79199,0,0,0,0,0,0
637002638075708466,1,1.12,-1.339948,7.1,15.45039,0,0,0,0,0,0
637002638075708466,1,1.14,-0.7299398,7.1,15.1088,0,0,0,0,0,0
637002638075708466,1,1.159999,-0.7299398,7.099999,15.1088,0,0,0,0,0,0
637002638075708466,1,1.179999,-0.1199289,7.099999,14.76719,0,0,0,0,0,0
637002638075708466,1,1.199999,-0.1199289,7.1,14.76719,0,0,0,0,0,0
637002638075708466,1,1.219999,0.4900748,7.1,14.42558,0,0,0,0,0,0
637002638075708466,1,1.239999,2.930109,7.099999,13.05915,0,0,0,0,0,0
637002638075708466,1,1.259999,3.54011,7.1,12.71754,0,0,0,0,0,0
637002638075708466,1,1.279999,4.760142,7.1,12.03433,0,0,0,0,0,0
637002638075708466,1,1.299999,5.370154,7.1,11.69272,0,0,0,0,0,0
637002638075708466,1,1.319999,5.98016,7.099999,11.35112,0,0,0,0,0,0
637002638075708466,1,1.339999,6.590169,7.1,11.0095,0,0,0,0,0,0
637002638075708466,1,1.359999,7.200177,7.1,10.66791,0,0,0,0,0,0
637002638075708466,1,1.379999,7.5,7.1,10.5,0,0,0,0,0,0
637002638075708466,1,1.399999,7.5,7.1,10.5,0,0,0,0,0,0
637002638075708466,1,1.419999,8.079297,7.1,10.90551,0,0,0,0,0,0
637002638075708466,1,1.439999,8.658601,7.100001,11.31102,0,0,0,0,0,0
637002638075708466,1,1.459999,9.237903,7.1,11.71652,0,0,0,0,0,0
637002638075708466,1,1.479999,9.237903,7.1,11.71652,0,0,0,0,0,0
637002638075708466,1,1.499999,9.237903,7.1,11.71652,0,0,0,0,0,0
637002638075708466,1,1.519999,9.81719,7.1,12.12203,0,0,0,0,0,0
637002638075708466,1,1.539999,9.81719,7.1,12.12203,0,0,0,0,0,0
637002638075708466,1,1.559999,9.81719,7.1,12.12203,0,0,0,0,0,0
637002638075708466,1,1.579999,9.81719,7.1,12.12203,0,0,0,0,0,0
637002638075708466,1,1.599999,9.81719,7.1,12.12203,0,0,0,0,0,0
637002638075708466,1,1.619999,10.3965,7.1,12.52754,0,0,0,0,0,0
637002638075708466,1,1.639999,10.3965,7.100001,12.52754,0,0,0,0,0,0
637002638075708466,1,1.659999,10.3965,7.100001,12.52754,0,0,0,0,0,0
637002638075708466,1,1.679999,10.3965,7.100001,12.52754,0,0,0,0,0,0
637002638075708466,1,1.699999,10.3965,7.100001,12.52754,0,0,0,0,0,0
637002638075708466,1,1.719999,13.87231,7.100001,14.9606,0,0,0,0,0,0
637002638075708466,1,1.739999,13.87231,7.1,14.9606,0,0,0,0,0,0
637002638075708466,1,1.759999,13.87231,7.1,14.9606,0,0,0,0,0,0
637002638075708466,1,1.779999,13.87231,7.1,14.9606,0,0,0,0,0,0
637002638075708466,1,1.799999,13.87231,7.1,14.9606,0,0,0,0,0,0
637002638075708466,1,1.819999,17.3481,7.1,17.39368,0,0,0,0,0,0
637002638075708466,1,1.839999,17.3481,7.1,17.39368,0,0,0,0,0,0
637002638075708466,1,1.859999,17.3481,7.1,17.39368,0,0,0,0,0,0
637002638075708466,1,1.879999,17.49999,7.1,17.5,0,0,0,0,0,0
637002638075708466,1,1.899999,17.49999,7.1,17.5,0,0,0,0,0,0
637002638075708466,1,1.919999,17.49999,7.1,17.5,0,0,0,0,0,0
637002638075708466,1,1.939999,17.49999,7.1,17.5,0,0,0,0,0,0
637002638075708466,1,1.959999,18.56435,7.1,15.51319,0,0,0,0,0,0
637002638075708466,1,1.979999,18.56435,7.1,15.51319,0,0,0,0,0,0
637002638075708466,1,1.999999,18.56435,7.1,15.51319,0,0,0,0,0,0
637002638075708466,1,2.019999,18.91913,7.1,14.85092,0,0,0,0,0,0
637002638075708466,1,2.039999,18.91913,7.1,14.85092,0,0,0,0,0,0
637002638075708466,1,2.059999,19.27392,7.1,14.18866,0,0,0,0,0,0
637002638075708466,1,2.079999,20.33827,7.1,12.20185,0,0,0,0,0,0
637002638075708466,1,2.099999,21.04786,7.1,10.87731,0,0,0,0,0,0
637002638075708466,1,2.119999,21.75742,7.1,9.552789,0,0,0,0,0,0
637002638075708466,1,2.139999,21.75742,7.099999,9.552789,0,0,0,0,0,0
637002638075708466,1,2.159999,22.1122,7.099999,8.890532,0,0,0,0,0,0
637002638075708466,1,2.179999,22.1122,7.1,8.890532,0,0,0,0,0,0
637002638075708466,1,2.199999,22.46699,7.1,8.228269,0,0,0,0,0,0
637002638075708466,1,2.219999,23.88611,7.1,5.579233,0,0,0,0,0,0
637002638075708466,1,2.239999,24.2409,7.1,4.916971,0,0,0,0,0,0
