Session ID,Attempt,Time,p_X,p_Y,p_Z,o_X,o_Y,o_Z,t_X,t_Y,t_Z
637000971587429321,1,0.02,-15,7.092316,-10.50001,0,0,0,0,0,0
637000971587429321,1,0.04,-15,6.93928,-10.50001,0,0,0,0,0,0
637000971587429321,1,0.06,-15,6.78232,-10.50001,0,0,0,0,0,0
637000971587429321,1,0.08,-15,6.621436,-10.50001,0,0,0,0,0,0
637000971587429321,1,0.09999999,-14.9077,6.732287,-10.27388,0,0,0,0,0,0
637000971587429321,1,0.12,-14.81541,6.754457,-10.04775,0,0,0,0,0,0
637000971587429321,1,0.14,-14.72311,6.758891,-9.821627,0,0,0,0,0,0
637000971587429321,1,0.16,-14.72311,6.759778,-9.821627,0,0,0,0,0,0
637000971587429321,1,0.18,-14.63081,6.759955,-9.5955,0,0,0,0,0,0
637000971587429321,1,0.2,-14.44623,6.758241,-9.143244,0,0,0,0,0,0
637000971587429321,1,0.22,-14.35393,6.7718,-8.917112,0,0,0,0,0,0
637000971587429321,1,0.24,-14.16934,6.784359,-8.464862,0,0,0,0,0,0
637000971587429321,1,0.26,-13.98475,6.806536,-8.012617,0,0,0,0,0,0
637000971587429321,1,0.28,-13.89245,6.830657,-7.786495,0,0,0,0,0,0
637000971587429321,1,0.3,-13.80016,6.845349,-7.560365,0,0,0,0,0,0
637000971587429321,1,0.32,-13.70787,6.858138,-7.334237,0,0,0,0,0,0
637000971587429321,1,0.34,-13.61558,6.870541,-7.108107,0,0,0,0,0,0
637000971587429321,1,0.36,-13.43099,6.882867,-6.655856,0,0,0,0,0,0
637000971587429321,1,0.38,-13.33869,6.904997,-6.429732,0,0,0,0,0,0
637000971587429321,1,0.4,-13.1541,6.919288,-5.97748,0,0,0,0,0,0
637000971587429321,1,0.42,-13.06181,6.941815,-5.751359,0,0,0,0,0,0
637000971587429321,1,0.4400001,-13.06208,6.956186,-5.752031,0,0,0,0,0,0
637000971587429321,1,0.4600001,-12.96951,6.95906,-5.52523,0,0,0,0,0,0
637000971587429321,1,0.4800001,-12.87721,6.96949,-5.299102,0,0,0,0,0,0
637000971587429321,1,0.5000001,-12.69262,6.981417,-4.846845,0,0,0,0,0,0
637000971587429321,1,0.52,-12.60032,7.003467,-4.620718,0,0,0,0,0,0
637000971587429321,1,0.54,-12.60059,7.017742,-4.621385,0,0,0,0,0,0
637000971587429321,1,0.56,-12.50802,7.020597,-4.39459,0,0,0,0,0,0
637000971587429321,1,0.58,-12.41572,7.036658,-4.168466,0,0,0,0,0,0
637000971587429321,1,0.6,-12.32342,7.049412,-3.942335,0,0,0,0,0,0
637000971587429321,1,0.6199999,-12.23112,7.056484,-3.71621,0,0,0,0,0,0
637000971587429321,1,0.6399999,-12.03827,7.087265,-3.833042,0,0,0,0,0,0
637000971587429321,1,0.6599999,-11.65257,7.094756,-4.066722,0,0,0,0,0,0
637000971587429321,1,0.6799999,-11.45972,7.097871,-4.18356,0,0,0,0,0,0
637000971587429321,1,0.6999999,-11.26687,7.099028,-4.300396,0,0,0,0,0,0
637000971587429321,1,0.7199998,-11.07402,7.099611,-4.41723,0,0,0,0,0,0
637000971587429321,1,0.7399998,-10.88117,7.099902,-4.53407,0,0,0,0,0,0
637000971587429321,1,0.7599998,-10.68832,7.09998,-4.650901,0,0,0,0,0,0
637000971587429321,1,0.7799998,-10.49547,7.099996,-4.767741,0,0,0,0,0,0
637000971587429321,1,0.7999998,-10.10977,7.099999,-5.001413,0,0,0,0,0,0
637000971587429321,1,0.8199998,-9.72407,7.100001,-5.235084,0,0,0,0,0,0
637000971587429321,1,0.8399997,-9.531216,7.1,-5.351927,0,0,0,0,0,0
637000971587429321,1,0.8599997,-9.338367,7.1,-5.468762,0,0,0,0,0,0
637000971587429321,1,0.8799997,-9.145514,7.1,-5.5856,0,0,0,0,0,0
637000971587429321,1,0.8999997,-8.759809,7.1,-5.819276,0,0,0,0,0,0
